iter	Passed	Remaining
349	20064	14331
350	20137	14285
351	20193	14227
352	20245	14166
353	20311	14114
354	20366	14055
355	20430	14002
356	20489	13946
357	20551	13892
358	20605	13832
359	20658	13772
360	20720	13718
361	20767	13653
362	20827	13598
363	20892	13545
364	20950	13488
365	21007	13431
366	21059	13370
367	21127	13319
368	21197	13270
369	21254	13211
370	21309	13153
371	21361	13092
372	21416	13033
373	21470	12974
374	21525	12915
375	21586	12860
376	21652	12807
377	21709	12749
378	21760	12688
379	21825	12635
380	21898	12587
381	21944	12523
382	21993	12460
383	22046	12401
384	22116	12350
385	22190	12302
386	22253	12248
387	22306	12188
388	22366	12132
389	22420	12072
390	22479	12016
391	22536	11957
392	22587	11897
393	22643	11839
394	22694	11778
395	22750	11720
396	22819	11668
397	22883	11614
398	22936	11554
399	23000	11500
400	23052	11440
401	23108	11381
402	23172	11327
403	23238	11274
404	23290	11213
405	23347	11156
406	23396	11094
407	23453	11036
408	23513	10980
409	23566	10920
410	23620	10861
411	23681	10806
412	23736	10747
413	23810	10697
414	23870	10641
415	23944	10590
416	24013	10538
417	24080	10484
418	24158	10436
419	24220	10380
420	24286	10326
421	24346	10269
422	24404	10212
423	24459	10153
424	24524	10098
425	24576	10038
426	24633	9980
427	24683	9919
428	24743	9862
429	24815	9810
430	24869	9751
431	24918	9690
432	24989	9638
433	25044	9579
434	25100	9520
435	25152	9460
436	25219	9406
437	25271	9347
438	25327	9288
439	25380	9229
440	25436	9171
441	25492	9112
442	25547	9054
443	25607	8997
444	25676	8943
445	25738	8887
446	25809	8834
447	25871	8777
448	25932	8721
449	25991	8663
450	26058	8609
451	26125	8554
452	26185	8497
453	26248	8441
454	26322	8388
455	26384	8331
456	26440	8273
457	26503	8217
458	26556	8157
459	26614	8099
460	26685	8046
461	26739	7987
462	26814	7934
463	26885	7880
464	26939	7821
465	27002	7764
466	27066	7708
467	27128	7651
468	27201	7597
469	27278	7545
470	27344	7489
471	27411	7433
472	27477	7377
473	27545	7322
474	27604	7264
475	27672	7208
476	27737	7152
477	27799	7095
478	27871	7040
479	27928	6982
480	27986	6923
481	28050	6867
482	28110	6809
483	28157	6748
484	28225	6692
485	28291	6636
486	28360	6580
487	28436	6526
488	28506	6470
489	28560	6411
490	28628	6355
491	28692	6298
492	28755	6241
493	28822	6184
494	28890	6128
495	28963	6072
496	29029	6016
497	29090	5958
498	29156	5901
499	29226	5845
500	29301	5790
501	29375	5734
502	29437	5676
503	29493	5617
504	29566	5561
505	29642	5506
506	29706	5449
507	29785	5394
508	29847	5336
509	29904	5277
510	29964	5218
511	30017	5159
512	30067	5099
513	30125	5040
514	30192	4983
515	30268	4927
516	30332	4869
517	30401	4812
518	30461	4754
519	30520	4695
520	30584	4637
521	30647	4579
522	30727	4523
523	30789	4465
524	30857	4408
525	30921	4350
526	30992	4293
527	31058	4235
528	31128	4177
529	31204	4121
530	31271	4063
531	31326	4004
532	31378	3944
533	31439	3885
534	31495	3826
535	31556	3767
536	31614	3708
537	31683	3651
538	31755	3593
539	31808	3534
540	31863	3474
541	31916	3415
542	31975	3356
543	32031	3297
544	32085	3237
545	32145	3179
546	32200	3119
547	32261	3061
548	32320	3002
549	32370	2942
550	32428	2883
551	32487	2825
552	32545	2766
553	32607	2707
554	32669	2648
555	32738	2590
556	32800	2532
557	32867	2473
558	32924	2414
559	32980	2355
560	33042	2297
561	33098	2237
562	33155	2178
563	33206	2119
564	33272	2061
565	33327	2002
566	33388	1943
567	33444	1884
568	33506	1825
569	33562	1766
570	33615	1707
571	33675	1648
572	33757	1590
573	33820	1531
574	33874	1472
575	33927	1413
576	33985	1354
577	34037	1295
578	34092	1236
579	34152	1177
580	34220	1119
581	34276	1060
582	34325	1000
583	34393	942
584	34453	883
585	34510	824
586	34560	765
587	34608	706
588	34681	647
589	34750	588
590	34824	530
591	34886	471
592	34942	412
593	34996	353
594	35060	294
595	35117	235
596	35171	176
597	35228	117
598	35298	58
599	35355	0
