iter	Logloss
363	0.3913488528
364	0.391256469
365	0.3910861732
366	0.3908497348
367	0.3907271895
368	0.3905945824
369	0.390419703
370	0.3901733405
371	0.3900882594
372	0.3899104836
373	0.3898054683
374	0.3896859827
375	0.3894571474
376	0.3893330545
377	0.3891560815
378	0.3890891965
379	0.3889480533
380	0.3887103444
381	0.3886004241
382	0.3884686134
383	0.3884189546
384	0.3882738659
385	0.3881085649
386	0.3880919269
387	0.3880816116
388	0.3880316306
389	0.388008536
390	0.3879012947
391	0.387886278
392	0.3878365572
393	0.3877091275
394	0.3875831112
395	0.3873835025
396	0.3872459001
397	0.3870785222
398	0.3869278872
399	0.3867386291
400	0.3865460488
401	0.3864440819
402	0.3862394448
403	0.3860347218
404	0.3858397723
405	0.3857306637
406	0.3856867497
407	0.3855188377
408	0.3854050488
409	0.3853033116
410	0.3852274312
411	0.3850769343
412	0.384908127
413	0.384679639
414	0.3845320654
415	0.3844722898
416	0.3842208704
417	0.3840286286
418	0.3839006442
419	0.3836032205
420	0.383584352
421	0.3834849201
422	0.3834123383
423	0.3833414882
424	0.3831978192
425	0.3830517362
426	0.3829170677
427	0.3828028731
428	0.3827585387
429	0.3827239184
430	0.3826765498
431	0.3824888373
432	0.3823695958
433	0.3822237121
434	0.3820742881
435	0.381917452
436	0.3818094598
437	0.3817002272
438	0.3814808905
439	0.3813259023
440	0.381228399
441	0.3812012734
442	0.381114265
443	0.3808586704
444	0.3805041286
445	0.3802907074
446	0.3800671901
447	0.3799192644
448	0.3799046695
449	0.3797484632
450	0.3797061943
451	0.3794955342
452	0.3794409387
453	0.3792991815
454	0.3790172875
455	0.378874916
456	0.3786895143
457	0.3786561889
458	0.3785185495
459	0.3784370759
460	0.3782774507
461	0.3781473338
462	0.3780485473
463	0.3779347165
464	0.3778692948
465	0.3776776535
466	0.3775489372
467	0.3774218896
468	0.3773029348
469	0.3772042046
470	0.3770691402
471	0.3768116564
472	0.3765494301
473	0.3764509898
474	0.3762675717
475	0.3762024953
476	0.3760404314
477	0.3758334919
478	0.3757199341
479	0.3756448805
480	0.3755853276
481	0.375468426
482	0.3754473697
483	0.3753724716
484	0.3752786224
485	0.3751582627
486	0.3749885024
487	0.3748627353
488	0.3747466812
489	0.3746211619
490	0.3745683629
491	0.3742828768
492	0.3741637251
493	0.3740592841
494	0.3740014485
495	0.3738854427
496	0.3737669165
497	0.3736939424
498	0.3736865813
499	0.3734490092
500	0.3733538141
501	0.3733152875
502	0.3731640068
503	0.3731287284
504	0.3730685549
505	0.372995184
506	0.3729739262
507	0.3728233272
508	0.3726123697
509	0.3725318627
510	0.3724869071
511	0.3723983539
512	0.3723863079
513	0.3722298676
514	0.3721344817
515	0.3720445968
516	0.3719516257
517	0.3717333185
518	0.3715593435
519	0.3714347327
520	0.3713465564
521	0.3712029468
522	0.3711437042
523	0.3711196102
524	0.3710425683
525	0.3708651224
526	0.3707328842
527	0.3706279053
528	0.3705834517
529	0.3705298265
530	0.3703829647
531	0.37033986
532	0.3701728299
533	0.3701087804
534	0.3700513211
535	0.3699025563
536	0.3698627633
537	0.3696439043
538	0.3694867634
539	0.3693087594
540	0.369174764
541	0.3690617146
542	0.3688852839
543	0.3687437776
544	0.3686935159
545	0.3685229257
546	0.3682992849
547	0.3680313351
548	0.3679113879
549	0.3678147385
550	0.367631837
551	0.3675164625
552	0.3673640508
553	0.3671806842
554	0.3670806095
555	0.3668826305
556	0.3666778516
557	0.3664988687
558	0.3664499993
559	0.3662385686
560	0.3660855891
561	0.3659651307
562	0.3659052797
563	0.3657762973
564	0.3656112795
565	0.3654243624
566	0.3653788812
567	0.3653119857
568	0.3652236738
569	0.3650995816
570	0.3650198385
571	0.3649541115
572	0.3648467757
573	0.3646977463
574	0.3645147658
575	0.3644394859
576	0.3643535497
577	0.3642479798
578	0.3641514223
579	0.3639744405
580	0.3637945503
581	0.3636334927
582	0.3636015441
583	0.36354183
584	0.3634019133
585	0.3633100393
586	0.3630513752
587	0.362914938
588	0.3628242293
589	0.3627514438
590	0.3626992357
591	0.3626313869
592	0.3625524333
593	0.3623531074
594	0.3622151228
595	0.3620546191
596	0.3618641068
597	0.3617450418
598	0.3615574137
599	0.3615376981
